Date,Close,High,Low,Open,Volume
,META,META,META,META,META
2024-11-15,553.14,571.6,550.57,570.25,17712900
2024-11-18,553.46,558.95,549.16,556.1,14346700
2024-11-19,560.14,560.48,549.67,550.93,9522400
2024-11-20,564.56,565.39,553.26,561.98,9797300
2024-11-21,562.14,569.03,548.12,568.56,11154700
2024-11-22,558.19,562.87,553.65,562.6,9164000
2024-11-25,564.15,571.62,555.45,561.15,13599800
2024-11-26,572.57,576.52,564.24,565.04,10356600
2024-11-27,568.24,574.01,563.14,573.92,7200200
2024-11-29,573.35,577.48,565.94,568.04,7130500
2024-12-02,591.83,593.49,574.59,576.52,12522400
2024-12-03,612.61,613.16,590.25,593.99,14907200
2024-12-04,612.74,616.73,604.07,611.92,14697000
2024-12-05,607.9,618.85,606.02,616.03,8081200
2024-12-06,622.71,628.72,607.5,609.07,16935500
2024-12-09,612.53,625.34,605.14,622.86,11426000
2024-12-10,618.27,624.53,611.7,616.51,10938900
2024-12-11,631.61,637.32,620.48,622.31,10837200
2024-12-12,629.72,635.58,626.15,630.43,7474700
2024-12-13,619.3,630.01,615.84,626.16,8453300
2024-12-16,623.69,630.59,618.03,629.42,10885600
2024-12-17,618.89,631.81,615.99,625.61,12897800
2024-12-18,596.66,626.8,595.79,620.45,17075500
2024-12-19,595.04,610.98,594.47,609.85,14958100
2024-12-20,584.73,602.57,579.48,590.06,48989400
2024-12-23,599.32,600.56,585.73,589.08,10205800
2024-12-24,607.21,607.45,598.75,602.18,4726100
2024-12-26,602.81,605.76,598.41,604.94,6081400
2024-12-27,599.28,601.32,589.28,598.88,8084200
2024-12-30,590.71,596.41,585.06,588.23,7025900
2024-12-31,584.99,593.44,583.33,591.74,6019500
2025-01-02,598.71,604.37,587.3,589.2,12682300
2025-01-03,604.09,608.96,595.88,604.22,11436800
2025-01-06,629.64,630.43,605.08,611.29,14560800
2025-01-07,617.34,631.54,607.69,631.14,12071500
2025-01-08,610.18,615.89,602.25,612.85,10085800
2025-01-10,615.31,629.35,596.81,609.49,19256600
2025-01-13,607.79,608.43,597.92,606.56,10785000
2025-01-14,593.72,604.95,588.03,604.53,13598000
2025-01-15,616.57,621.91,605.96,609.67,15524300
2025-01-16,610.76,615.7,609.17,610.96,8355300
2025-01-17,612.23,624.41,603.13,623.5,17280600
2025-01-21,615.91,620.95,608.47,617.28,11674000
2025-01-22,622.95,633.14,618.88,622.75,12274000
2025-01-23,635.88,636.03,620.6,626.8,9910200
2025-01-24,646.91,651.42,633.64,635.83,19065300
2025-01-27,659.29,663.28,624.54,626.05,28399200
2025-01-28,673.73,681.97,658.88,665.41,20950100
2025-01-29,675.89,680.44,665.08,674.4,21377800
2025-01-30,686.39,710.16,675.5,696.2,29322900
2025-01-31,688.57,704.67,684.97,690.39,19331700
2025-02-03,696.84,703.37,674.65,675.31,21415700
2025-02-04,703.56,707.08,691.0,701.88,13826300
2025-02-05,704.24,717.5,698.39,702.92,17778200
2025-02-06,711.36,718.26,702.87,705.25,13080700
2025-02-07,713.88,724.37,711.12,716.16,16427100
2025-02-10,716.76,720.56,710.7,717.92,12904300
2025-02-11,719.16,723.02,709.41,712.69,12998000
2025-02-12,724.74,726.45,711.97,714.66,12016500
2025-02-13,727.91,728.35,717.4,720.88,12569100
2025-02-14,736.02,740.25,724.98,725.49,16901200
2025-02-18,715.73,736.34,705.81,735.35,21938700
2025-02-19,703.14,706.37,694.77,703.47,17535500
2025-02-20,694.22,705.0,693.02,696.66,12587400
